poll_id,pollster_id,pollster,sponsor_ids,sponsors,display_name,pollster_rating_id,pollster_rating_name,fte_grade,methodology,state,start_date,end_date,sponsor_candidate_id,sponsor_candidate,sponsor_candidate_party,question_id,sample_size,population,subpopulation,population_full,tracking,created_at,notes,url,source,internal,partisan,politician_id,politician,favorable,unfavorable,alternate_answers,very_favorable,somewhat_favorable,somewhat_unfavorable,very_unfavorable
78859,1205,Marist,"373,765",NPR | PBS NewsHour,Marist College,183,Marist College,A,Live Phone,,4/19/2022,4/26/2022,,,,155110,1162,rv,,rv,,4/29/2022 10:12,,https://maristpoll.marist.edu/polls/npr-pbs-newshour-marist-national-poll-the-2022-midterm-elections-bidens-job-performance-april-2022/,,FALSE,,11,Donald Trump,39,56,5,,,,
78825,1189,Morning Consult,538,Politico,Morning Consult,218,Morning Consult,B,Online,,4/22/2022,4/25/2022,,,,154959,2004,rv,,rv,,4/27/2022 9:22,,https://assets.morningconsult.com/wp-uploads/2022/04/26144616/2204148_crosstabs_POLITICO_RVs_v1_SH.pdf,,FALSE,,11,Donald Trump,42,55,3,,,,
78807,1508,Harris Poll,763,Harvard CAPS,Harris Poll,133,Harris Insights & Analytics,B+,Online,,4/20/2022,4/21/2022,,,,154880,1966,rv,,rv,,4/25/2022 20:55,,https://harvardharrispoll.com/key-results-april/,,FALSE,,11,Donald Trump,44,49,8,26,18,11,37
78805,1302,Echelon Insights,,,Echelon Insights,407,Echelon Insights,B/C,Online,,4/18/2022,4/20/2022,,,,154818,1001,lv,,lv,,4/22/2022 14:38,,https://echeloninsights.com/in-the-news/april-22-omnibus-political-update-2/,,FALSE,,11,Donald Trump,40,58,2,22,18,10,48
78805,1302,Echelon Insights,,,Echelon Insights,407,Echelon Insights,B/C,Online,,4/18/2022,4/20/2022,,,,154819,1001,rv,,rv,,4/22/2022 14:38,,https://echeloninsights.com/in-the-news/april-22-omnibus-political-update-2/,,FALSE,,11,Donald Trump,40,57,3,23,17,10,47
78782,568,YouGov,352,Economist,YouGov,391,YouGov,B+,Online,,4/16/2022,4/19/2022,,,,154727,1500,a,,a,,4/20/2022 9:13,,https://docs.cdn.yougov.com/cx9lo3h9rg/econToplines.pdf,,FALSE,,11,Donald Trump,43,49,7,26,17,8,41
78782,568,YouGov,352,Economist,YouGov,391,YouGov,B+,Online,,4/16/2022,4/19/2022,,,,154728,1252,rv,,rv,,4/20/2022 9:13,,https://docs.cdn.yougov.com/9itq17lrr3/econTabReport.pdf,,FALSE,,11,Donald Trump,44,51,5,28,16,9,42
78803,1347,Cygnal Political,,,Cygnal,67,Cygnal,B+,Online,,4/15/2022,4/18/2022,,,,154816,5846,lv,,lv,,4/22/2022 13:26,,https://www.cygn.al/april-national-voter-trends-panel/,,FALSE,,11,Donald Trump,45.3,52.3,0,28.9,16.4,7.9,44.4
78793,1406,Global Strategy Group/GBAO/Navigator Research,,,Navigator Research,413,Global Strategy Group/GBAO (Navigator Research),B/C,Online,,4/14/2022,4/18/2022,,,,155021,997,rv,,rv,,4/28/2022 9:41,,https://navigatorresearch.org/wp-content/uploads/2022/04/Navigator-Toplines-04.19.2022.pdf,,FALSE,,11,Donald Trump,43,55,1,26,17,9,46
78778,1189,Morning Consult,538,Politico,Morning Consult,218,Morning Consult,B,Online,,4/15/2022,4/17/2022,,,,154712,2005,rv,,rv,,4/20/2022 9:10,,https://www.politico.com/f/?id=00000180-4017-dd01-afaa-e537b2150000,,FALSE,,11,Donald Trump,41,56,3,,,,
78754,568,YouGov,352,Economist,YouGov,391,YouGov,B+,Online,,4/9/2022,4/12/2022,,,,154637,1500,a,,a,,4/13/2022 15:40,,https://docs.cdn.yougov.com/3gmmhwtyj0/econToplines.pdf,,FALSE,,11,Donald Trump,42,53,6,25,17,8,45
78754,568,YouGov,352,Economist,YouGov,391,YouGov,B+,Online,,4/9/2022,4/12/2022,,,,154638,1303,rv,,rv,,4/13/2022 15:40,,https://docs.cdn.yougov.com/v29gmo3oqg/econTabReport%20%282%29.pdf,,FALSE,,11,Donald Trump,42,53,4,26,16,7,46
78752,399,Rasmussen (Pulse Opinion Research),,,Rasmussen Reports/Pulse Opinion Research,277,Rasmussen Reports/Pulse Opinion Research,B,IVR/Online,,4/10/2022,4/11/2022,,,,154603,1000,lv,,lv,,4/13/2022 13:37,,https://www.washingtonexaminer.com/news/washington-secrets/desantis-pulls-into-tie-with-trumps-favorables,,FALSE,,11,Donald Trump,52,45,0,,,,
78747,1189,Morning Consult,538,Politico,Morning Consult,218,Morning Consult,B,Online,,4/8/2022,4/11/2022,,,,154595,2005,rv,,rv,,4/13/2022 8:37,,https://assets.morningconsult.com/wp-uploads/2022/04/12125341/2204052_crosstabs_POLITICO_RVs_v1_SH.pdf,,FALSE,,11,Donald Trump,41,57,2,,,,
78718,568,YouGov,352,Economist,YouGov,391,YouGov,B+,Online,,4/2/2022,4/5/2022,,,,154434,1500,a,,a,,4/6/2022 11:00,,https://docs.cdn.yougov.com/bntehkvg1p/econToplines.pdf,,FALSE,,11,Donald Trump,38,54,8,23,15,9,45
78718,568,YouGov,352,Economist,YouGov,391,YouGov,B+,Online,,4/2/2022,4/5/2022,,,,154435,1287,rv,,rv,,4/6/2022 11:00,,https://docs.cdn.yougov.com/sjgq52uivh/econTabReport.pdf,,FALSE,,11,Donald Trump,40,55,5,24,16,9,46
78710,1189,Morning Consult,538,Politico,Morning Consult,218,Morning Consult,B,Online,,4/1/2022,4/4/2022,,,,154437,2003,rv,,rv,,4/6/2022 11:00,,https://assets.morningconsult.com/wp-uploads/2022/04/05131819/2204008_crosstabs_POLITICO_RVs_v2_SH.pdf,,FALSE,,11,Donald Trump,41,56,4,,,,
78744,1406,Global Strategy Group/GBAO/Navigator Research,,,Navigator Research,413,Global Strategy Group/GBAO (Navigator Research),B/C,Online,,3/31/2022,4/4/2022,,,,154552,998,rv,,rv,,4/12/2022 9:14,,https://navigatorresearch.org/bidens-economic-agenda-hits-high-in-support-as-most-americans-are-not-hearing-much-positive-economic-news/,,FALSE,,11,Donald Trump,44,55,1,26,17,10,45
78685,568,YouGov,352,Economist,YouGov,391,YouGov,B+,Online,,3/26/2022,3/29/2022,,,,154273,1500,a,,a,,3/30/2022 9:05,,https://docs.cdn.yougov.com/4qdxtvqetg/econToplines.pdf,,FALSE,,11,Donald Trump,43,50,7,24,19,7,43
78685,568,YouGov,352,Economist,YouGov,391,YouGov,B+,Online,,3/26/2022,3/29/2022,,,,154274,1313,rv,,rv,,3/30/2022 9:05,,https://docs.cdn.yougov.com/3ixnq9227y/econTabReport.pdf,,FALSE,,11,Donald Trump,43,51,5,25,18,6,45
78674,1189,Morning Consult,538,Politico,Morning Consult,218,Morning Consult,B,Online,,3/25/2022,3/27/2022,,,,154254,2006,rv,,rv,,3/30/2022 8:47,,https://assets.morningconsult.com/wp-uploads/2022/03/29162021/2203186_crosstabs_POLITICO_RVs_v2_SH.pdf,,FALSE,,11,Donald Trump,41,55,4,,,,
78679,1508,Harris Poll,763,Harvard CAPS,Harris Poll,133,Harris Insights & Analytics,B+,Online,,3/23/2022,3/24/2022,,,,154212,1990,rv,,rv,,3/29/2022 11:27,,https://mcusercontent.com/ca678077bc522bd7bd74bacbf/files/8268fbf4-a318-713b-ed6e-8c25f5df1f41/HHP_March2022_FinalEdited.pdf,,FALSE,,11,Donald Trump,48,44,8,27,21,10,35
78698,1075,Marquette Law School,,,Marquette University Law School,195,Marquette University Law School,A/B,Online,,3/14/2022,3/24/2022,,,,154329,1004,a,,a,,3/31/2022 9:48,,https://law.marquette.edu/poll/2022/03/31/marquette-supreme-court-poll-march-2022-national-issues/,,FALSE,,11,Donald Trump,36,61,3,,,,
78647,568,YouGov,352,Economist,YouGov,391,YouGov,B+,Online,,3/19/2022,3/22/2022,,,,154018,1500,a,,a,,3/23/2022 11:16,,https://docs.cdn.yougov.com/joqdn4nhky/econToplines.pdf,,FALSE,,11,Donald Trump,42,51,8,25,17,8,43
78647,568,YouGov,352,Economist,YouGov,391,YouGov,B+,Online,,3/19/2022,3/22/2022,,,,154019,1270,rv,,rv,,3/23/2022 11:16,,https://docs.cdn.yougov.com/l8ynsbxwgl/econTabReport.pdf,,FALSE,,11,Donald Trump,42,54,4,27,15,8,46
78669,1292,Hart Research Associates/Public Opinion Strategies,132,NBC News,Hart Research Associates/Public Opinion Strategies,221,NBC News/The Wall Street Journal,B+,Live Phone,,3/18/2022,3/22/2022,,,,154162,1000,a,,a,,3/27/2022 13:02,question wording: positive/negative/neutral,https://www.nbcnews.com/politics/meet-the-press/bidens-job-approval-falls-lowest-level-presidency-war-inflation-fears-rcna21679,,FALSE,,11,Donald Trump,36,50,14,,,,
78634,1189,Morning Consult,538,Politico,Morning Consult,218,Morning Consult,B,Online,,3/18/2022,3/21/2022,,,,154015,2005,rv,,rv,,3/23/2022 7:58,,https://www.politico.com/f/?id=0000017f-b51c-d17b-a1ff-b7dde2e60000,,FALSE,,11,Donald Trump,41,56,2,,,,
78641,1302,Echelon Insights,,,Echelon Insights,407,Echelon Insights,B/C,Online,,3/18/2022,3/21/2022,,,,153962,1050,lv,,lv,,3/22/2022 14:52,,https://echeloninsights.com/in-the-news/march-22-omnibus-political-update/,,FALSE,,11,Donald Trump,41,57,2,25,16,9,48
78641,1302,Echelon Insights,,,Echelon Insights,407,Echelon Insights,B/C,Online,,3/18/2022,3/21/2022,,,,154044,1050,rv,,rv,,3/23/2022 16:15,,https://echeloninsights.com/in-the-news/march-22-omnibus-political-update/,,FALSE,,11,Donald Trump,42,56,2,26,16,9,47
78659,1234,U. Massachusetts - Lowell,,,University of Massachusetts Lowell,355,University of Massachusetts Lowell,B+,Online,,3/15/2022,3/21/2022,,,,154088,1000,a,,a,,3/24/2022 9:40,,https://www.uml.edu/docs/2022-National-Topline-324_tcm18-350201.pdf,,FALSE,,11,Donald Trump,37,53,9,,,,
78687,1521,Hofstra University,,,Hofstra University,558,Hofstra University,B/C,Online,,3/11/2022,3/21/2022,,,,154281,2000,rv,,rv,,3/30/2022 11:56,full data provided by Craig Burnett,https://news.hofstra.edu/2022/03/29/biden-approval-falls-amid-concerns-about-inflation-kalikow-poll/,,FALSE,,11,Donald Trump,43.66,55.53,0.81,23.89,19.77,7.06,48.47
78636,1102,Emerson College Polling Society,,,Emerson College,88,Emerson College,A-,IVR/Online,,3/18/2022,3/20/2022,,,,153919,1023,rv,,rv,,3/22/2022 9:31,,https://emersonpolling.reportablenews.com/pr/national-poll-march-2022-us-voters-report-increased-hardship-as-prices-rise-blame-biden-for-gas-prices,,FALSE,,11,Donald Trump,59.3,38.8,1.9,35.4,23.9,6.6,32.2
78666,1406,Global Strategy Group/GBAO/Navigator Research,,,Navigator Research,413,Global Strategy Group/GBAO (Navigator Research),B/C,Online,,3/17/2022,3/20/2022,,,,154190,1000,rv,,rv,,3/29/2022 9:33,,https://navigatorresearch.org/wp-content/uploads/2022/03/Navigator-Toplines-03.22.2022.pdf,,FALSE,,11,Donald Trump,43,55,2,27,15,9,45
78846,241,Ipsos,1474,Survey Center on American Life,Ipsos,154,Ipsos,B-,Online,,3/11/2022,3/20/2022,,,,155020,2007,a,,a,,4/28/2022 9:41,,https://www.americansurveycenter.org/research/march-2022-aps/,,FALSE,,11,Donald Trump,39,59,2,16,23,14,45
78579,568,YouGov,352,Economist,YouGov,391,YouGov,B+,Online,,3/12/2022,3/15/2022,,,,153675,1500,a,,a,,3/16/2022 9:33,,https://docs.cdn.yougov.com/2g5l01eto4/econToplines.pdf,,FALSE,,11,Donald Trump,40,52,6,23,18,8,44
78579,568,YouGov,352,Economist,YouGov,391,YouGov,B+,Online,,3/12/2022,3/15/2022,,,,153676,1292,rv,,rv,,3/16/2022 9:33,,https://docs.cdn.yougov.com/bbui2643wn/econTabReport.pdf,,FALSE,,11,Donald Trump,43,53,4,24,19,8,45
78844,552,Winston,1312,Winning the Issues,The Winston Group,385,The Winston Group,A/B,Online,,3/12/2022,3/14/2022,,,,155013,1000,rv,,rv,,4/27/2022 19:51,,https://www.winningtheissues.org/wp-content/uploads/2022/04/Winning-the-Issues-March-2022-National-Survey.pdf,,FALSE,REP,11,Donald Trump,44,52,4,,,,
78580,1189,Morning Consult,538,Politico,Morning Consult,218,Morning Consult,B,Online,,3/11/2022,3/14/2022,,,,153678,2005,rv,,rv,,3/16/2022 9:33,,https://assets.morningconsult.com/wp-uploads/2022/03/16070850/2203090_crosstabs_POLITICO_RVs_v2_SH.pdf,,FALSE,,11,Donald Trump,42,55,4,,,,
78574,568,YouGov,1213,Yahoo News,YouGov,391,YouGov,B+,Online,,3/10/2022,3/14/2022,,,,153610,1623,a,,a,,3/15/2022 9:58,,https://ph.news.yahoo.com/poll-americans-warm-to-bidens-approach-on-russia-and-ukraine-125641393.html,,FALSE,,11,Donald Trump,39,55,6,21,18,11,44
78574,568,YouGov,1213,Yahoo News,YouGov,391,YouGov,B+,Online,,3/10/2022,3/14/2022,,,,153611,1225,rv,,rv,,3/15/2022 9:58,,https://ph.news.yahoo.com/poll-americans-warm-to-bidens-approach-on-russia-and-ukraine-125641393.html,,FALSE,,11,Donald Trump,39,58,3,22,17,10,48
78813,961,SocialSphere,1431,Murmuration,SocialSphere,307,SocialSphere,B/C,Online,,3/6/2022,3/14/2022,,,,154881,6565,rv,,rv,,4/25/2022 20:55,,https://murmuration.org/static/2022-Murmuration-Benchmark-Poll-Crosstabs.pdf,,FALSE,,11,Donald Trump,40,56,4,24,16,10,45
78551,568,YouGov,352,Economist,YouGov,391,YouGov,B+,Online,,3/5/2022,3/8/2022,,,,153522,1500,a,,a,,3/9/2022 8:39,,https://docs.cdn.yougov.com/nnyqh3ib1d/econToplines.pdf,,FALSE,,11,Donald Trump,41,54,6,24,17,12,42
78551,568,YouGov,352,Economist,YouGov,391,YouGov,B+,Online,,3/5/2022,3/8/2022,,,,153523,1227,rv,,rv,,3/9/2022 8:39,,https://docs.cdn.yougov.com/qtaw15lnp8/econTabReport.pdf,,FALSE,,11,Donald Trump,41,54,4,25,16,11,43
78563,1406,Global Strategy Group/GBAO/Navigator Research,,,Navigator Research,413,Global Strategy Group/GBAO (Navigator Research),B/C,Online,,3/3/2022,3/7/2022,,,,153590,1000,rv,,rv,,3/15/2022 9:30,,https://navigatorresearch.org/wp-content/uploads/2022/03/Navigator-Toplines-3.08.2022.pdf,,FALSE,,11,Donald Trump,42,56,3,24,18,9,47
78565,1699,Fabrizio/Impact,276,Wall Street Journal,"Fabrizio, Lee & Associates/Impact Research",694,Fabrizio Lee & Associates/Impact Research,,Live Phone/Online,,3/2/2022,3/7/2022,,,,153561,1500,rv,,rv,,3/11/2022 9:54,,https://www.wsj.com/articles/wsj-poll-biden-ukraine-inflation-midterms-11646975533,,FALSE,,11,Donald Trump,41,55,4,26,15,6,48
78543,1189,Morning Consult,538,Politico,Morning Consult,218,Morning Consult,B,Online,,3/4/2022,3/6/2022,,,,153504,2005,rv,,rv,,3/9/2022 8:10,,https://assets.morningconsult.com/wp-uploads/2022/03/08161506/2203034_crosstabs_POLITICO_RVs_v1_SH.pdf,,FALSE,,11,Donald Trump,45,52,4,,,,
78521,568,YouGov,352,Economist,YouGov,391,YouGov,B+,Online,,2/26/2022,3/1/2022,,,,153142,1500,a,,a,,3/2/2022 10:02,,https://docs.cdn.yougov.com/omtmdczu48/econToplines.pdf,,FALSE,,11,Donald Trump,42,50,7,25,17,8,42
78521,568,YouGov,352,Economist,YouGov,391,YouGov,B+,Online,,2/26/2022,3/1/2022,,,,153143,1205,rv,,rv,,3/2/2022 10:02,,https://docs.cdn.yougov.com/aa58ig9d3b/econTabReport.pdf,,FALSE,,11,Donald Trump,44,51,4,26,18,9,42
78509,1189,Morning Consult,538,Politico,Morning Consult,218,Morning Consult,B,Online,,2/25/2022,2/27/2022,,,,153145,2004,rv,,rv,,3/2/2022 10:02,,https://assets.morningconsult.com/wp-uploads/2022/03/02054309/2202168_crosstabs_POLITICO_RVs_v1_SH.pdf,,FALSE,,11,Donald Trump,42,56,2,,,,
78507,568,YouGov,1213,Yahoo News,YouGov,391,YouGov,B+,Online,,2/24/2022,2/27/2022,,,,153026,1532,a,,a,,2/28/2022 10:59,,https://news.yahoo.com/poll-74-percent-of-americans-call-russias-ukraine-invasion-unjustified-142128676.html,,FALSE,,11,Donald Trump,38,55,7,19,19,12,43
78507,568,YouGov,1213,Yahoo News,YouGov,391,YouGov,B+,Online,,2/24/2022,2/27/2022,,,,153027,1168,rv,,rv,,2/28/2022 10:59,,https://news.yahoo.com/poll-74-percent-of-americans-call-russias-ukraine-invasion-unjustified-142128676.html,,FALSE,,11,Donald Trump,39,57,3,20,19,10,47
78499,1508,Harris Poll,763,Harvard CAPS,Harris Poll,133,Harris Insights & Analytics,B+,Online,,2/23/2022,2/24/2022,,,,152995,2026,rv,,rv,,2/25/2022 21:11,,https://mcusercontent.com/ca678077bc522bd7bd74bacbf/files/a7e91458-499d-d0b4-70c5-192fa4bba67f/HHP_Feb_2022_Final_Deck_002_.pdf,,FALSE,,11,Donald Trump,46,47,7,28,19,11,36
78492,1302,Echelon Insights,,,Echelon Insights,407,Echelon Insights,B/C,Online,,2/19/2022,2/23/2022,,,,152936,1078,rv,,rv,,2/24/2022 15:18,,https://echeloninsights.com/in-the-news/february-22-omnibus-political-2/,,FALSE,,11,Donald Trump,42,55,3,23,19,8,46
78475,568,YouGov,352,Economist,YouGov,391,YouGov,B+,Online,,2/19/2022,2/22/2022,,,,152838,1500,a,,a,,2/23/2022 9:32,,https://docs.cdn.yougov.com/af2sfv6t42/econToplines.pdf,,FALSE,,11,Donald Trump,43,51,6,26,17,9,42
78475,568,YouGov,352,Economist,YouGov,391,YouGov,B+,Online,,2/19/2022,2/22/2022,,,,152839,1290,rv,,rv,,2/23/2022 9:32,,https://docs.cdn.yougov.com/4bmkoc0k8o/econTabReport.pdf,,FALSE,,11,Donald Trump,44,52,4,27,17,8,44
78493,1597,Beacon Research/Shaw & Company,149,FOX News,Beacon Research/Shaw & Company Research,103,Fox News/Beacon Research/Shaw & Co. Research,A,Live Phone,,2/19/2022,2/22/2022,,,,152956,1001,rv,,rv,,2/24/2022 21:57,,https://www.foxnews.com/official-polls/fox-news-poll-president-biden-not-tough-russia,,FALSE,,11,Donald Trump,45,54,1,26,19,9,45
78501,1406,Global Strategy Group/GBAO/Navigator Research,,,Navigator Research,413,Global Strategy Group/GBAO (Navigator Research),B/C,Online,,2/17/2022,2/22/2022,,,,153082,1770,rv,,rv,,3/1/2022 9:34,,https://navigatorresearch.org/wp-content/uploads/2022/02/Navigator-Toplines-02.23.2022.pdf,,FALSE,,11,Donald Trump,43,55,2,25,18,9,46
78473,1189,Morning Consult,538,Politico,Morning Consult,218,Morning Consult,B,Online,,2/19/2022,2/21/2022,,,,152834,2005,rv,,rv,,2/23/2022 9:17,,https://assets.morningconsult.com/wp-uploads/2022/02/22150612/2202139_crosstabs_POLITICO_RVs_v1_SH.pdf,,FALSE,,11,Donald Trump,41,55,4,,,,
78845,552,Winston,1312,Winning the Issues,The Winston Group,385,The Winston Group,A/B,Online,,2/15/2022,2/16/2022,,,,155014,1000,rv,,rv,,4/27/2022 19:51,,https://www.winningtheissues.org/wp-content/uploads/2022/04/Winning-the-Issues-February-2022-National-Survey.pdf,,FALSE,REP,11,Donald Trump,43,51,6,,,,
78443,568,YouGov,352,Economist,YouGov,391,YouGov,B+,Online,,2/12/2022,2/15/2022,,,,152698,1500,a,,a,,2/16/2022 10:37,,https://twitter.com/YouGovAmerica/status/1493949054325334024,,FALSE,,11,Donald Trump,39,52,7,23,16,9,43
78443,568,YouGov,352,Economist,YouGov,391,YouGov,B+,Online,,2/12/2022,2/15/2022,,,,152699,1231,rv,,rv,,2/16/2022 10:37,,https://twitter.com/YouGovAmerica/status/1493949054325334024,,FALSE,,11,Donald Trump,42,55,3,25,17,9,46
78441,1189,Morning Consult,538,Politico,Morning Consult,218,Morning Consult,B,Online,,2/12/2022,2/13/2022,,,,152664,2005,rv,,rv,,2/16/2022 8:12,,https://www.politico.com/f/?id=0000017f-0229-df48-a77f-42a928d30000,,FALSE,,11,Donald Trump,41,56,3,,,,
78430,461,Susquehanna,1458,The Federalist,Susquehanna Polling & Research,326,Susquehanna Polling & Research Inc.,B+,Live Phone,,2/3/2022,2/9/2022,,,,152616,800,lv,,lv,,2/11/2022 13:23,,https://thefederalist.com/2022/02/11/gop-surges-to-6-point-generic-ballot-lead-in-new-fdrlst-susquehanna-poll/,,FALSE,,11,Donald Trump,47,51,2,31,16,9,42
78412,568,YouGov,352,Economist,YouGov,391,YouGov,B+,Online,,2/5/2022,2/8/2022,,,,152522,1500,a,,a,,2/9/2022 10:37,,https://docs.cdn.yougov.com/i8sxn720xf/econToplines.pdf,,FALSE,,11,Donald Trump,40,55,6,24,16,10,45
